iter	RMSE
0	0.3856487811
1	0.3728387209
2	0.3615056967
3	0.3508088867
4	0.3399788709
5	0.3305241444
6	0.3206656523
7	0.31202878
8	0.3032288188
9	0.2947702209
10	0.2868637277
11	0.279154742
12	0.2714805668
13	0.264552565
14	0.2574790557
15	0.2510496521
16	0.2446172392
17	0.2385522819
18	0.2331845145
19	0.2278015709
20	0.2229511738
21	0.2183781583
22	0.2137501066
23	0.2089393823
24	0.2048552751
25	0.2003586406
26	0.1962864834
27	0.1924843822
28	0.1893051407
29	0.1857558428
30	0.1826807866
31	0.1793856376
32	0.1764842132
33	0.1737296208
34	0.1710463695
35	0.1687019476
36	0.166343071
37	0.1642290022
38	0.1621386364
39	0.1599907352
40	0.1580400924
41	0.1563360325
42	0.1543546198
43	0.1527754895
44	0.1511889994
45	0.1495700367
46	0.1480764257
47	0.1465344553
48	0.1453675107
49	0.1441780817
50	0.1427860273
51	0.1417323641
52	0.1404696574
53	0.1393764851
54	0.1382090945
55	0.1372043551
56	0.1361934191
57	0.134985951
58	0.1339109954
59	0.1328800166
60	0.1319952047
61	0.1310311925
62	0.1303632134
63	0.129460992
64	0.128656068
65	0.127958622
66	0.1272994866
67	0.1263646631
68	0.1256867168
69	0.1251397401
70	0.124592936
71	0.1239756639
72	0.1233648787
73	0.1225602688
74	0.1219410472
75	0.121355784
76	0.120869514
77	0.1201762204
78	0.1196902645
79	0.1193427609
80	0.1188373023
81	0.1183607442
82	0.1178091457
83	0.1173137621
84	0.1167436669
85	0.1163859597
86	0.1159091828
87	0.1155997397
88	0.1152162825
89	0.1147704376
90	0.1143464017
91	0.113751149
92	0.1134037444
93	0.1130407294
94	0.1126403182
95	0.112251794
96	0.1119234213
97	0.1115104408
98	0.1111661456
99	0.1107988794
100	0.1104061848
101	0.1099997452
102	0.1097683508
103	0.1094504736
104	0.1090905634
105	0.1087892757
106	0.1085266052
107	0.1081443057
108	0.1078358636
109	0.1075087093
110	0.1070343696
111	0.1069119599
112	0.1067126337
113	0.1064996903
114	0.1063000862
115	0.1059975934
116	0.1057135491
117	0.1055029043
118	0.1052970303
119	0.105087682
120	0.1046621298
121	0.1044425428
122	0.1043217321
123	0.1039842728
124	0.1038287257
125	0.1036309408
126	0.1034727275
127	0.103342842
128	0.1030566018
129	0.1028881945
130	0.102685577
131	0.1024594545
132	0.1022504919
133	0.1019450705
134	0.1018453809
135	0.101633509
136	0.1013709559
137	0.1011830423
138	0.1010544215
139	0.1006586938
140	0.1004148472
141	0.1001950825
142	0.1000182152
143	0.09985014827
144	0.09971658007
145	0.09951558255
146	0.09926570539
147	0.09910854926
148	0.09899909019
149	0.09878368002
150	0.09864888307
151	0.09836181632
152	0.09813524868
153	0.09794330506
154	0.09777058571
155	0.097493289
156	0.09729848382
157	0.09715619361
158	0.0969683434
159	0.0969093213
160	0.09659809676
161	0.09636014502
162	0.09614581854
163	0.09603482595
164	0.09583505628
165	0.09559610304
166	0.09537799906
167	0.09527692861
168	0.09521197195
169	0.09501554828
170	0.09488037959
171	0.09468835715
172	0.0944336579
173	0.09431126862
174	0.09409866037
175	0.09394081185
176	0.09370973545
177	0.0936347156
178	0.09336934753
179	0.09326399744
180	0.09317584975
181	0.0931239991
182	0.09291404194
183	0.09269403001
184	0.09251549622
185	0.09246149735
186	0.09225294126
187	0.09220915904
188	0.09199398031
189	0.09180473483
190	0.09174500254
191	0.09150273914
192	0.09145767758
193	0.09139864696
194	0.09116151474
195	0.09112317148
196	0.09107402183
197	0.09088736931
198	0.09067835079
199	0.09044324694
200	0.09025520703
201	0.09017688102
202	0.08989563748
203	0.08960546347
204	0.08939713304
205	0.08920157993
206	0.08901784168
207	0.08877429884
208	0.08857516379
209	0.08854228368
210	0.08834917844
211	0.08811235463
212	0.0880451094
213	0.08790522842
214	0.08772514995
215	0.08769041664
216	0.08745757183
217	0.08741290576
218	0.08725904472
219	0.08709236978
220	0.08694031027
221	0.08674061502
222	0.08657238016
223	0.08636520071
224	0.08633703587
225	0.0862105435
226	0.08597749762
227	0.08595073201
228	0.08584870746
229	0.0856995364
230	0.08560270302
231	0.0855727952
232	0.08535383555
233	0.08532940881
234	0.08513699145
235	0.08509998338
236	0.08497117791
237	0.08475594521
238	0.08464626901
239	0.08451330453
240	0.08430750664
241	0.08413997223
242	0.08397976541
243	0.08378534463
244	0.08359763382
245	0.08347122465
246	0.08322311072
247	0.08314178643
248	0.08293691413
249	0.0826889741
250	0.08256773222
251	0.08249995589
252	0.08240663174
253	0.08224180723
254	0.08204160203
255	0.08183516476
256	0.08168528823
257	0.08153686715
258	0.08140357446
259	0.08138135916
260	0.08126327223
261	0.08116425212
262	0.08114281492
263	0.08097253466
264	0.08089076659
265	0.08074240309
266	0.08053413189
267	0.08044758115
268	0.08034773935
269	0.08017322489
270	0.07998238462
271	0.07983616678
272	0.07970185258
273	0.07959672898
274	0.07957337033
275	0.07946442756
276	0.07934569459
277	0.07929016697
278	0.07923848531
279	0.07910604711
